albumID,setCode,yearRecorded,yearReleased,instrument,recordLabel,fullName
flatMIDI,bach-1,NA,NA,NA,NA,NA
bachAshk2006,bach-1,NA,NA,NA,NA,NA
bachAshk2006Deadpan,bach-1,NA,NA,NA,NA,NA
bachBarenboim2006,bach-1,NA,NA,NA,NA,NA
bachDemaria2015,bach-1,NA,NA,NA,NA,NA
bachDemaria2015Deadpan,bach-1,NA,NA,NA,NA,NA
bachDemus1970,bach-1,NA,NA,NA,NA,NA
bachFischer1934,bach-1,1934,2007,piano,NA,Edwin Fischer
bachGalling1964,bach-1,1964,2006,harpsichord,NA,Martin Galling
bachGould1971,bach-1,1962-1963 (CD 1) 1963-1965 (CD 2),NA,piano,NA,Glenn Gould
bachGulda,bach-1,NA,NA,NA,NA,NA
bachHamilton1964,bach-1,NA,NA,harpsichord,NA,Malcom Hamilton
bachKirkpatrick1963,bach-1,NA,NA,NA,NA,NA
bachLandowska1951,bach-1,1951,1987,harpsichord,NA,Wanda Landowska
bachLeonhardt1973,bach-1,1973,1989,piano,NA,Gustav Leonhardt
bachMartins1964,bach-1,NA,NA,NA,NA,NA
bachNewman1973,bach-1,NA,1973,piano,NA,Anthony Newman
bachNewman2001harpsichord,bach-1,NA,NA,NA,NA,NA
bachNewman2001piano,bach-1,2001,2001,piano,NA,Anthony Newman
bachRichter1970,bach-1,NA,NA,NA,NA,NA
bachTureck1953,bach-1,1953,1999,harpsichord,NA,Rosalyn Tureck
