pieceID,setCode,key,mode,pieceNumber
M0,bach-1,C,Major,1
m0,bach-1,C,minor,2
M10,bach-1,B♭,Major,21
m10,bach-1,B♭,minor,22
M11,bach-1,B,Major,23
m11,bach-1,B,minor,24
M1,bach-1,C♯,Major,3
m1,bach-1,C♯,minor,4
M2,bach-1,D,Major,5
m2,bach-1,D,minor,6
M3,bach-1,E♭,Major,7
m3,bach-1,E♭,minor,8
M4,bach-1,E,Major,9
m4,bach-1,E,minor,10
M5,bach-1,F,Major,11
m5,bach-1,F,minor,12
M6,bach-1,F♯,Major,13
m6,bach-1,F♯,minor,14
M7,bach-1,G,Major,15
m7,bach-1,G,minor,16
M8,bach-1,A♭,Major,17
m8,bach-1,G♯,minor,18
M9,bach-1,A,Major,19
m9,bach-1,A,minor,20
