pieceID,val,feature
M0,128,onsets
M1,48,onsets
M10,256,onsets
M11,128,onsets
M2,128,onsets
M3,144,onsets
M4,97,onsets
M5,192,onsets
M6,97,onsets
M7,192,onsets
M8,56,onsets
M9,125,onsets
m0,128,onsets
m1,84,onsets
m10,88,onsets
m11,66,onsets
m2,189,onsets
m3,50,onsets
m4,136,onsets
m5,131,onsets
m6,126,onsets
m7,149,onsets
m8,90,onsets
m9,109,onsets
M9,80.0,tempo
m5,46.00002913335179,tempo
M8,88.00002346667293,tempo
m3,72.00002880001152,tempo
m4,50.0,tempo
m0,108.000108000108,tempo
m7,40.0,tempo
M3,69.00001725000432,tempo
M10,76.00006586672374,tempo
M2,132.00042240135167,tempo
M1,132.00042240135167,tempo
m10,34.50000862500216,tempo
M11,66.00013860029107,tempo
M4,103.50002587500647,tempo
M0,69.00001725000432,tempo
M6,63.000063000063,tempo
m8,56.000029866682596,tempo
m6,88.00002346667293,tempo
m2,76.00006586672374,tempo
M7,60.0,tempo
m9,114.0001710002565,tempo
M5,108.000108000108,tempo
m11,69.00001725000432,tempo
m1,88.00002346667293,tempo
M0,0.2,mode
m0,-0.082,mode
M1,0.265,mode
m1,-0.234,mode
M2,-0.001,mode
m2,-0.148,mode
M3,0.206,mode
m3,-0.31,mode
M4,0.255,mode
m4,-0.181,mode
M5,-0.1,mode
m5,-0.246,mode
M6,0.2,mode
m6,-0.152,mode
M7,0.136,mode
m7,-0.304,mode
M8,0.306,mode
m8,0.078,mode
M9,0.191,mode
m9,-0.249,mode
M10,-0.021,mode
m10,-0.199,mode
M11,0.037,mode
m11,-0.009,mode
